               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.7626,              3.8206,              1.5825,             0.64302,                 0.5,             0.64423,             0.42452,              1.0897,              1.6673,              1.4637,              0.0847,              0.0017,              0.0017
                   1,              1.4904,              1.5524,              1.3354,             0.90206,                   1,             0.97045,             0.70975,              0.9613,             0.70461,              1.2462,            0.068361,           0.0033614,           0.0033614
                   2,              1.5324,              1.3245,              1.3132,             0.71038,                0.55,             0.70567,             0.50042,              1.1163,              1.5167,              1.3634,             0.05188,           0.0048802,           0.0048802
                   3,              1.4541,              1.1979,              1.2564,             0.81082,             0.64327,             0.79986,             0.58595,              1.0145,              1.4778,              1.2339,            0.035257,           0.0062565,           0.0062565
                   4,              1.5024,              1.1216,              1.2795,             0.79229,                 0.7,             0.79318,             0.55471,              1.1033,              1.5062,              1.2926,             0.01849,           0.0074902,           0.0074902
                   5,              1.4926,              1.0127,              1.2921,             0.63683,                 0.7,             0.67165,             0.34322,              1.3565,               1.569,              1.4766,             0.00802,             0.00802,             0.00802
                   6,               1.571,              1.2108,              1.3802,             0.89455,                 0.9,             0.94312,             0.62492,              1.2245,             0.84231,              1.4665,             0.00802,             0.00802,             0.00802
                   7,              1.5711,              1.0904,              1.3404,             0.92876,                 0.7,             0.79914,             0.38646,              1.8288,              1.7686,              1.9024,            0.007624,            0.007624,            0.007624
                   8,              1.5914,              1.1686,               1.371,                   1,             0.73521,             0.91207,             0.45271,              1.4151,              1.3869,              1.5669,            0.007228,            0.007228,            0.007228
                   9,              1.4949,              1.0522,              1.2676,             0.69193,                 0.7,             0.75099,              0.3287,               1.856,              1.4202,              1.8912,            0.006832,            0.006832,            0.006832
                  10,              1.5031,              1.0919,              1.4064,             0.80137,                 0.6,             0.70545,             0.40803,              1.5863,              1.5691,              1.5768,            0.006436,            0.006436,            0.006436
                  11,              1.5201,              1.1089,              1.4331,              0.8204,             0.68583,             0.80519,             0.49823,              1.3244,               1.384,              1.5424,             0.00604,             0.00604,             0.00604
                  12,              1.4492,              1.0115,              1.3969,             0.76929,             0.83411,             0.83685,             0.51806,              1.3562,              1.2006,              1.4939,            0.005644,            0.005644,            0.005644
                  13,              1.4791,             0.93548,              1.3787,             0.93984,             0.78186,             0.86158,             0.51458,              1.3518,              1.2745,              1.3348,            0.005248,            0.005248,            0.005248
                  14,              1.4773,             0.99451,              1.3728,             0.94218,             0.81542,             0.92804,             0.54626,                1.31,             0.86754,              1.2508,            0.004852,            0.004852,            0.004852
                  15,              1.4831,             0.89613,              1.3936,             0.83297,             0.74814,             0.81818,             0.58878,              1.2524,              1.0616,               1.261,            0.004456,            0.004456,            0.004456
                  16,              1.4072,             0.85894,               1.306,             0.72091,             0.77552,             0.77505,             0.54637,              1.3601,              1.0694,              1.3793,             0.00406,             0.00406,             0.00406
                  17,              1.4196,             0.81604,              1.3512,             0.73995,                 0.8,             0.84225,             0.57523,               1.266,              1.0337,              1.3782,            0.003664,            0.003664,            0.003664
                  18,              1.4102,             0.84482,              1.3272,             0.87459,                0.85,             0.94818,             0.64844,              1.1854,             0.77479,              1.2575,            0.003268,            0.003268,            0.003268
                  19,              1.4381,               0.856,              1.3266,              0.8749,                0.85,             0.88152,             0.61788,              1.1522,              0.8759,               1.295,            0.002872,            0.002872,            0.002872
                  20,              1.3822,             0.82982,              1.3328,             0.82464,             0.94082,             0.90837,             0.60214,              1.3547,             0.72131,              1.3893,            0.002476,            0.002476,            0.002476
                  21,              1.3583,             0.78841,               1.299,              0.8613,             0.93202,              0.9414,             0.67333,               1.135,             0.72976,              1.2559,             0.00208,             0.00208,             0.00208
                  22,              1.3572,             0.75696,              1.3286,             0.94253,                 0.9,             0.95057,             0.66309,              1.2249,             0.76358,               1.329,            0.001684,            0.001684,            0.001684
                  23,              1.2598,             0.70661,              1.2213,              0.9285,                0.85,              0.9279,             0.60838,              1.2436,             0.84816,              1.3362,            0.001288,            0.001288,            0.001288
                  24,              1.2577,             0.68458,              1.2548,             0.91756,                0.85,             0.93869,             0.61701,              1.2307,             0.89196,              1.3155,            0.000892,            0.000892,            0.000892
